season_name,avg_rentals_by_season,hr,avg_rentals_by_hour,workingday,avg_rentals_by_workingday,casual,registered,casual,registered
Spring,2604.1325966850827,0.0,53.89807162534435,0.0,4330.168831168831,,,,
Winter,4728.162921348315,1.0,33.3756906077348,1.0,4584.82,,,,
Summer,4992.33152173913,2.0,22.86993006993007,,,,,,
Fall,5644.303191489362,3.0,11.727403156384504,,,,,,
,,4.0,6.352941176470588,,,,,,
,,5.0,19.88981868898187,,,,,,
,,6.0,76.04413793103448,,,,,,
,,7.0,212.0646492434663,,,,,,
,,8.0,359.01100412654745,,,,,,
,,9.0,219.30949105914718,,,,,,
,,10.0,173.6685006877579,,,,,,
,,11.0,208.1430536451169,,,,,,
,,12.0,253.31593406593407,,,,,,
,,13.0,253.66117969821673,,,,,,
,,14.0,240.94924554183814,,,,,,
,,15.0,251.2331961591221,,,,,,
,,16.0,311.9835616438356,,,,,,
,,17.0,461.45205479452056,,,,,,
,,18.0,425.510989010989,,,,,,
,,19.0,311.52335164835165,,,,,,
,,20.0,226.03021978021977,,,,,,
,,21.0,172.31456043956044,,,,,,
,,22.0,131.33516483516485,,,,,,
,,23.0,87.83104395604396,,,,,,
,,,,,,848.1764705882352,3656.172366621067,,
,,,,,,,,35.67621842453536,153.78686920996606
